date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:30	16012/16012	---M-Z	200	added ('OK')	text/html	etag:%224380c53a10f1e0e8da250744a6c63a15-ssl-df%22	https://www.babels.jp/	/home/boss/websites/japan/www.babels.jp/index.html	(from )
21:58:32	2345/2345	---M-Z	200	added ('OK')	text/html	etag:%22ab447c6d936102a79519f5c0c878ab5d-ssl-df%22	https://www.clarity.tokyo/	/home/boss/websites/japan/www.clarity.tokyo/index.html	(from )
21:58:34	2636/2636	---MC-	404	error ('Not%20Found')	text/html	etag:1519283165-ssl	https://www.babels.jp/robots.txt		(from )
21:58:34	43307/43307	---M--	200	added ('OK')	text/html	etag:W/%229a97520eb11eeb0651382de7cc5f5db2%22	https://sider.review/	/home/boss/websites/japan/sider.review/index.html	(from )
21:58:34	48656/48656	---M-Z	200	added ('OK')	text/html	etag:%22385b42489573883b0104841275cd1c7c-ssl-df%22	https://www.confirmkit.com/	/home/boss/websites/japan/www.confirmkit.com/index.html	(from )
21:58:35	223195/223195	---M-Z	200	added ('OK')	text/css	etag:%225344e60589775967148aeaf786d17eb4-ssl-df%22	https://www.babels.jp/assets/css/bulma.css	/home/boss/websites/japan/www.babels.jp/assets/css/bulma.css	(from https://www.babels.jp/)
21:58:37	17432/17432	---MCZ	200	added ('OK')	text/html	etag:W/%225ad53841-4418%22	http://edison.ai/	/home/boss/websites/japan/edison.ai/index.html	(from )
21:58:38	7995/7995	---M-Z	200	added ('OK')	text/css	etag:%223055f6fde2f3b748b0de8c2e363d1643-ssl-df%22	https://www.babels.jp/assets/css/main.css	/home/boss/websites/japan/www.babels.jp/assets/css/main.css	(from https://www.babels.jp/)
21:58:38	8894/8894	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2019:58:38%20GMT	https://scalar-labs.com/	/home/boss/websites/japan/scalar-labs.com/index.html	(from )
21:58:38	2260/2260	---M--	200	added ('OK')	image/png	etag:%225541850444a14690558efdc8983dc63e-ssl%22	https://www.babels.jp/assets/images/apple-touch-icon.png	/home/boss/websites/japan/www.babels.jp/assets/images/apple-touch-icon.png	(from https://www.babels.jp/)
21:58:38	1313/1313	---M--	200	added ('OK')	image/png	etag:%2273bb4ecd53be655b47a576f2f3f545fa-ssl%22	https://www.babels.jp/assets/images/favicon-32x32.png	/home/boss/websites/japan/www.babels.jp/assets/images/favicon-32x32.png	(from https://www.babels.jp/)
21:58:39	840/840	---M--	200	added ('OK')	image/png	etag:%225471aa2a4de10906161accf6c11f693a-ssl%22	https://www.babels.jp/assets/images/favicon-16x16.png	/home/boss/websites/japan/www.babels.jp/assets/images/favicon-16x16.png	(from https://www.babels.jp/)
21:58:39	32419/32419	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2019:58:38%20GMT	https://www.motivo.jp/	/home/boss/websites/japan/www.motivo.jp/index.html	(from )
21:58:39	287/287	---M-Z	200	added ('OK')	application/octet-stream	etag:%22e6405d573aba92769e697fd5ae94bc9b-ssl-df%22	https://www.babels.jp/assets/images/site.webmanifest	/home/boss/websites/japan/www.babels.jp/assets/images/site.webmanifest	(from https://www.babels.jp/)
21:58:40	824/824	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d6b117b53a7cee41660f19c39327140b-ssl-df%22	https://www.babels.jp/assets/images/safari-pinned-tab.svg	/home/boss/websites/japan/www.babels.jp/assets/images/safari-pinned-tab.svg	(from https://www.babels.jp/)
21:58:42	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	/home/boss/websites/japan/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://www.babels.jp/)
21:58:43	1393/1393	---M--	200	added ('OK')	image/png	etag:%22008cca1081231569153a70b8728b3b4d-ssl%22	https://www.babels.jp/assets/images/babel_logo_white.png	/home/boss/websites/japan/www.babels.jp/assets/images/babel_logo_white.png	(from https://www.babels.jp/)
21:58:43	2437/2437	---M--	200	added ('OK')	image/png	etag:%226f9ec6da7168a29063f5f6277e3477f1-ssl%22	https://www.babels.jp/assets/images/corporate_logo_white.png	/home/boss/websites/japan/www.babels.jp/assets/images/corporate_logo_white.png	(from https://www.babels.jp/)
21:58:44	10592/10592	---M--	200	added ('OK')	image/png	etag:%221a14fbced18444d95aa49c72ceb131f7-ssl%22	https://www.babels.jp/assets/images/toycha_logo.png	/home/boss/websites/japan/www.babels.jp/assets/images/toycha_logo.png	(from https://www.babels.jp/)
